"row_key","gid","probe_uid","cdt_historical_id","gpl_orf","gpl_feature_name","gpl_gene_symbol","current_sgd_id","current_systematic_id","current_standard_name","current_feature_type","current_qualifier","mapping_status","mean_p","mean_non_p","p_effect","p_consistency_count","median_p","median_non_p","background_mad","p_specificity_score","p_specificity_rank","fixed_threshold_member","top_133_score_member"
"A_06_P3754","GENE1925X","A_06_P3754","YHR176W","YHR176W","YHR176W","ORF:YHR176W","S000001219","YHR176W","FMO1","ORF","Verified","current",-0.971666666666667,0.414,-1.38566666666667,0,-0.96,-0.11,0.452193,-1.53931686928302,5094,FALSE,FALSE
"A_06_P3820","GENE209X","A_06_P3820","YIL020C","YIL020C","YIL020C","HIS6","S000001282","YIL020C","HIS6","ORF","Verified","current",-0.105,0.195666666666667,-0.300666666666667,1,-0.235,0.25,0.214977,-1.53979496915648,5095,FALSE,FALSE
"A_06_P2706","GENE4465X","A_06_P2706","YER075C","YER075C","YER075C","PTP3","S000000877","YER075C","PTP3","ORF","Verified","current",-0.1,0.516,-0.616,0,-0.06,0.505,0.266868,-1.54006345606594,5096,FALSE,FALSE
"A_06_P5544","GENE2143X","A_06_P5544","YMR115W","YMR115W","YMR115W","ORF:YMR115W","S000004721","YMR115W","MGR3","ORF","Verified","current",-0.658333333333333,-0.059,-0.599333333333333,0,-0.62,-0.055,0.266868,-1.54006345606594,5097,FALSE,FALSE
"A_06_P4926","GENE4093X","A_06_P4926","YLR113W","YLR113W","YLR113W","HOG1","S000004103","YLR113W","HOG1","ORF","Verified","current",-0.605,-0.018,-0.587,0,-0.655,-0.01,0.318759,-1.54026540325103,5098,FALSE,FALSE
"A_06_P3586","GENE550X","A_06_P3586","YHR016C","YHR016C","YHR016C","YSC84","S000001058","YHR016C","YSC84","ORF","Verified","current",-0.35,0.343666666666667,-0.693666666666667,0,-0.315,0.33,0.318759,-1.54026540325103,5099,FALSE,FALSE
"A_06_P2647","GENE3807X","A_06_P2647","YER023W","YER023W","YER023W","PRO3","S000000825","YER023W","PRO3","ORF","Verified","current",-0.0516666666666667,0.287666666666667,-0.339333333333333,0,-0.08,0.315,0.155673,-1.54494217222781,5100,FALSE,FALSE
"A_06_P3370","GENE3538X","A_06_P3370","YGR149W","YGR149W","YGR149W","ORF:YGR149W","S000003381","YGR149W","GPC1","ORF","Verified","current",-0.445,0.391666666666667,-0.836666666666667,0,-0.435,0.43,0.459606,-1.54573038888075,5101,FALSE,FALSE
"A_06_P6452","GENE3794X","A_06_P6452","YOR090C","YOR090C","YOR090C","PTC5","S000005616","YOR090C","PTC5","ORF","Verified","current",-0.421666666666667,0.210666666666667,-0.632333333333333,0,-0.405,0.22,0.303933,-1.54728630738266,5102,FALSE,FALSE
"A_06_P2806","GENE4275X","A_06_P2806","YER174C","YER174C","YER174C","GRX4","S000000976","YER174C","GRX4","ORF","Verified","current",-0.245,0.479666666666667,-0.724666666666667,0,-0.215,0.595,0.422541,-1.55011759842768,5103,FALSE,FALSE
"A_06_P3784","GENE1671X","A_06_P3784","YHR206W","YHR206W","YHR206W","SKN7","S000001249","YHR206W","SKN7","ORF","Verified","current",-0.403333333333333,0.141,-0.544333333333333,0,-0.35,0.15,0.22239,-1.5509165917057,5104,FALSE,FALSE
"A_06_P3604","GENE2185X","A_06_P3604","YHR033W","YHR033W","YHR033W","ORF:YHR033W","S000001075","YHR033W","","ORF","Verified","current",-0.613333333333333,-0.044,-0.569333333333333,2,-0.99,-0.145,0.44478,-1.55108484158743,5105,FALSE,FALSE
"A_06_P3253","GENE3793X","A_06_P3253","YGR033C","YGR033C","YGR033C","ORF:YGR033C","S000003265","YGR033C","TIM21","ORF","Verified","current",-0.54,-0.164333333333333,-0.375666666666667,0,-0.535,-0.08,0.192738,-1.55429086760175,5106,FALSE,FALSE
"A_06_P4098","GENE2766X","A_06_P4098","YJL076W","YJL076W","YJL076W","NET1","S000003612","YJL076W","NET1","ORF","Verified","current",-0.938333333333333,-0.338333333333333,-0.6,0,-0.865,-0.26,0.289107,-1.55484224133722,5107,FALSE,FALSE
"A_06_P5774","GENE1942X","A_06_P5774","YNL003C","YNL003C","YNL003C","PET8","S000004948","YNL003C","PET8","ORF","Verified","current",-0.0916666666666667,0.435333333333333,-0.527,0,-0.055,0.435,0.214977,-1.55566914409624,5108,FALSE,FALSE
